Student_ID,DOA,DOB,Department_Choices,Department_Admission
20133311,7/1/2013,3/12/1996,IDEPT3778,IDEPT3778
20133314,7/1/2013,9/27/1995,IDEPT1533,IDEPT1533
20133325,7/1/2013,2/29/1996,IDEPT3115,IDEPT3115
20133342,7/1/2013,5/23/1996,IDEPT5528,IDEPT5528
20133350,7/1/2013,7/26/1995,IDEPT2054,IDEPT2054
20133376,7/1/2013,8/18/1995,IDEPT4308,IDEPT4308
20133385,7/1/2013,7/31/1995,IDEPT3868,IDEPT3868
20133388,7/1/2013,12/20/1995,IDEPT1388,IDEPT1388
20133390,7/1/2013,6/5/1996,IDEPT1142,IDEPT1142
20133413,7/1/2013,4/30/1996,IDEPT4055,IDEPT4055
20133435,7/1/2013,7/18/1995,IDEPT4308,IDEPT4308
20133442,7/1/2013,1/11/1996,IDEPT7783,IDEPT7783
20133455,7/1/2013,3/27/1996,IDEPT7005,IDEPT7005
20133467,7/1/2013,1/24/1996,IDEPT1825,IDEPT1825
20133468,7/1/2013,1/18/1996,IDEPT5528,IDEPT5528
20133486,7/1/2013,5/16/1996,IDEPT1615,IDEPT1615
20133497,7/1/2013,6/1/1996,IDEPT5408,IDEPT5408
20133506,7/1/2013,8/12/1995,IDEPT1825,IDEPT1825
20133507,7/1/2013,11/23/1995,IDEPT1142,IDEPT1142
20133520,7/1/2013,1/25/1996,IDEPT3868,IDEPT3868
20133527,7/1/2013,7/19/1995,IDEPT4132,IDEPT4132
20133542,7/1/2013,7/8/1995,IDEPT4938,IDEPT4938
20133549,7/1/2013,5/20/1996,IDEPT4670,IDEPT4670
20133560,7/1/2013,11/2/1995,IDEPT1836,IDEPT1836
20133561,7/1/2013,12/30/1995,IDEPT7626,IDEPT7626
20133618,7/1/2013,4/4/1996,IDEPT5528,IDEPT5528
20133625,7/1/2013,8/13/1995,IDEPT1677,IDEPT1677
20133626,7/1/2013,5/28/1996,IDEPT1142,IDEPT1142
20133628,7/1/2013,8/24/1995,IDEPT2601,IDEPT2601
20133658,7/1/2013,9/17/1995,IDEPT8473,IDEPT8473
20133680,7/1/2013,7/12/1995,IDEPT1615,IDEPT1615
20133690,7/1/2013,12/12/1995,IDEPT2357,IDEPT2357
20133719,7/1/2013,4/26/1996,IDEPT4055,IDEPT4055
20133729,7/1/2013,3/29/1996,IDEPT5528,IDEPT5528
20133731,7/1/2013,10/13/1995,IDEPT3868,IDEPT3868
20133750,7/1/2013,2/11/1996,IDEPT8379,IDEPT8379
20133751,7/1/2013,11/21/1995,IDEPT5564,IDEPT5564
20133756,7/1/2013,5/31/1996,IDEPT1533,IDEPT1533
20133758,7/1/2013,9/6/1995,IDEPT5127,IDEPT5127
20133797,7/1/2013,11/2/1995,IDEPT1825,IDEPT1825
20133807,7/1/2013,12/27/1995,IDEPT8598,IDEPT8598
20133809,7/1/2013,6/15/1996,IDEPT1378,IDEPT1378
20133812,7/1/2013,8/12/1995,IDEPT4055,IDEPT4055
20133819,7/1/2013,4/18/1996,IDEPT3115,IDEPT3115
20133822,7/1/2013,12/5/1995,IDEPT1677,IDEPT1677
20133823,7/1/2013,2/6/1996,IDEPT4670,IDEPT4670
20133843,7/1/2013,12/5/1995,IDEPT1836,IDEPT1836
20133848,7/1/2013,11/10/1995,IDEPT1423,IDEPT1423
20133854,7/1/2013,10/13/1995,IDEPT7626,IDEPT7626
20133872,7/1/2013,9/25/1995,IDEPT1367,IDEPT1367
20133911,7/1/2013,1/30/1996,IDEPT2601,IDEPT2601
20133920,7/1/2013,12/18/1995,IDEPT1423,IDEPT1423
20133932,7/1/2013,3/3/1996,IDEPT6347,IDEPT6347
20133955,7/1/2013,5/9/1996,IDEPT8473,IDEPT8473
20134007,7/1/2013,3/13/1996,IDEPT7005,IDEPT7005
20134016,7/1/2013,4/21/1996,IDEPT3868,IDEPT3868
20134062,7/1/2013,9/1/1995,IDEPT5127,IDEPT5127
20134063,7/1/2013,3/23/1996,IDEPT1378,IDEPT1378
20134101,7/1/2013,6/23/1996,IDEPT8598,IDEPT8598
20134103,7/1/2013,8/25/1995,IDEPT5564,IDEPT5564
20134138,7/1/2013,4/12/1996,IDEPT5109,IDEPT5109
20134143,7/1/2013,11/14/1995,IDEPT3868,IDEPT3868
20134156,7/1/2013,2/24/1996,IDEPT1096,IDEPT1096
20134161,7/1/2013,2/14/1996,IDEPT5881,IDEPT5881
20134168,7/1/2013,3/1/1996,IDEPT5408,IDEPT5408
20134173,7/1/2013,12/10/1995,IDEPT1615,IDEPT1615
20134176,7/1/2013,3/29/1996,IDEPT1533,IDEPT1533
20134178,7/1/2013,5/26/1996,IDEPT1836,IDEPT1836
20134198,7/1/2013,6/14/1996,IDEPT1423,IDEPT1423
20134214,7/1/2013,5/21/1996,IDEPT1378,IDEPT1378
20134227,7/1/2013,1/15/1996,IDEPT8313,IDEPT8313
20134240,7/1/2013,11/4/1995,IDEPT8598,IDEPT8598
20134249,7/1/2013,7/15/1995,IDEPT2054,IDEPT2054
20134260,7/1/2013,2/15/1996,IDEPT2601,IDEPT2601
20134273,7/1/2013,2/21/1996,IDEPT8473,IDEPT8473
20134275,7/1/2013,10/6/1995,IDEPT1615,IDEPT1615
20134333,7/1/2013,5/21/1996,IDEPT6347,IDEPT6347
20134351,7/1/2013,3/1/1996,IDEPT1533,IDEPT1533
20134363,7/1/2013,6/14/1996,IDEPT5127,IDEPT5127
20134382,7/1/2013,4/1/1996,IDEPT4938,IDEPT4938
20134384,7/1/2013,11/27/1995,IDEPT1615,IDEPT1615
20134409,7/1/2013,1/3/1996,IDEPT8825,IDEPT8825
20134421,7/1/2013,9/27/1995,IDEPT4055,IDEPT4055
20134424,7/1/2013,5/31/1996,IDEPT8598,IDEPT8598
20134428,7/1/2013,8/27/1995,IDEPT1836,IDEPT1836
20134445,7/1/2013,9/9/1995,IDEPT1142,IDEPT1142
20134454,7/1/2013,5/9/1996,IDEPT4670,IDEPT4670
20134476,7/1/2013,8/31/1995,IDEPT3115,IDEPT3115
20134484,7/1/2013,6/28/1996,IDEPT1677,IDEPT1677
20134491,7/1/2013,1/16/1996,IDEPT4670,IDEPT4670
20134504,7/1/2013,5/18/1996,IDEPT1378,IDEPT1378
20134538,7/1/2013,8/8/1995,IDEPT1615,IDEPT1615
20134541,7/1/2013,6/22/1996,IDEPT4670,IDEPT4670
20134563,7/1/2013,8/10/1995,IDEPT1388,IDEPT1388
20134581,7/1/2013,7/15/1995,IDEPT8825,IDEPT8825
20134601,7/1/2013,6/21/1996,IDEPT1142,IDEPT1142
20134602,7/1/2013,10/5/1995,IDEPT1096,IDEPT1096
20134607,7/1/2013,7/1/1996,IDEPT2357,IDEPT2357
20134637,7/1/2013,7/23/1995,IDEPT4938,IDEPT4938
20134645,7/1/2013,7/26/1995,IDEPT1677,IDEPT1677
20134659,7/1/2013,7/20/1995,IDEPT2601,IDEPT2601
20134683,7/1/2013,11/3/1995,IDEPT5528,IDEPT5528
20134703,7/1/2013,10/11/1995,IDEPT2054,IDEPT2054
20134704,7/1/2013,4/21/1996,IDEPT1142,IDEPT1142
20134723,7/1/2013,12/10/1995,IDEPT4308,IDEPT4308
20134757,7/1/2013,1/24/1996,IDEPT2601,IDEPT2601
20134761,7/1/2013,10/9/1995,IDEPT5564,IDEPT5564
20134792,7/1/2013,1/12/1996,IDEPT8825,IDEPT8825
20134805,7/1/2013,12/20/1995,IDEPT8379,IDEPT8379
20134816,7/1/2013,1/5/1996,IDEPT1142,IDEPT1142
20134820,7/1/2013,7/10/1995,IDEPT8379,IDEPT8379
20134828,7/1/2013,6/20/1996,IDEPT5109,IDEPT5109
20134829,7/1/2013,12/4/1995,IDEPT8379,IDEPT8379
20134830,7/1/2013,10/9/1995,IDEPT8313,IDEPT8313
20134852,7/1/2013,5/15/1996,IDEPT5564,IDEPT5564
20134870,7/1/2013,4/2/1996,IDEPT3062,IDEPT3062
20134889,7/1/2013,2/21/1996,IDEPT2601,IDEPT2601
20134891,7/1/2013,12/22/1995,IDEPT1378,IDEPT1378
20134894,7/1/2013,9/25/1995,IDEPT7783,IDEPT7783
20134899,7/1/2013,7/16/1995,IDEPT4670,IDEPT4670
20134900,7/1/2013,9/19/1995,IDEPT2054,IDEPT2054
20134904,7/1/2013,9/21/1995,IDEPT1537,IDEPT1537
20134923,7/1/2013,6/24/1996,IDEPT1388,IDEPT1388
20134974,7/1/2013,10/19/1995,IDEPT3868,IDEPT3868
20134979,7/1/2013,8/20/1995,IDEPT2425,IDEPT2425
20134991,7/1/2013,9/5/1995,IDEPT8473,IDEPT8473
20135002,7/1/2013,10/14/1995,IDEPT1423,IDEPT1423
20135020,7/1/2013,2/28/1996,IDEPT1142,IDEPT1142
20135023,7/1/2013,2/1/1996,IDEPT6347,IDEPT6347
20135072,7/1/2013,5/6/1996,IDEPT2601,IDEPT2601
20135090,7/1/2013,5/8/1996,IDEPT3778,IDEPT3778
20135098,7/1/2013,7/7/1995,IDEPT3868,IDEPT3868
20135100,7/1/2013,2/9/1996,IDEPT8379,IDEPT8379
20135122,7/1/2013,2/11/1996,IDEPT2601,IDEPT2601
20135142,7/1/2013,5/29/1996,IDEPT1677,IDEPT1677
20135146,7/1/2013,2/27/1996,IDEPT7005,IDEPT7005
20135153,7/1/2013,7/4/1996,IDEPT4670,IDEPT4670
20135154,7/1/2013,12/25/1995,IDEPT4308,IDEPT4308
20135166,7/1/2013,12/22/1995,IDEPT1096,IDEPT1096
20135169,7/1/2013,3/8/1996,IDEPT9999,IDEPT9999
20135178,7/1/2013,7/10/1995,IDEPT3115,IDEPT3115
20135211,7/1/2013,11/26/1995,IDEPT4670,IDEPT4670
20135226,7/1/2013,2/12/1996,IDEPT8473,IDEPT8473
20135261,7/1/2013,9/25/1995,IDEPT7626,IDEPT7626
20135280,7/1/2013,3/27/1996,IDEPT1142,IDEPT1142
20135282,7/1/2013,7/19/1995,IDEPT3062,IDEPT3062
20135291,7/1/2013,7/26/1995,IDEPT8313,IDEPT8313
20135297,7/1/2013,9/27/1995,IDEPT5528,IDEPT5528
20135298,7/1/2013,12/25/1995,IDEPT8313,IDEPT8313
20135307,7/1/2013,8/23/1995,IDEPT3868,IDEPT3868
20135312,7/1/2013,1/7/1996,IDEPT2357,IDEPT2357
20135331,7/1/2013,8/9/1995,IDEPT3778,IDEPT3778
20135339,7/1/2013,3/26/1996,IDEPT1142,IDEPT1142
20135364,7/1/2013,8/6/1995,IDEPT1423,IDEPT1423
20135373,7/1/2013,7/12/1995,IDEPT4308,IDEPT4308
20135377,7/1/2013,12/6/1995,IDEPT3062,IDEPT3062
20135382,7/1/2013,7/18/1995,IDEPT3062,IDEPT3062
20135405,7/1/2013,1/31/1996,IDEPT4308,IDEPT4308
20135406,7/1/2013,3/8/1996,IDEPT1836,IDEPT1836
20135426,7/1/2013,11/26/1995,IDEPT1423,IDEPT1423
20135446,7/1/2013,5/20/1996,IDEPT5127,IDEPT5127
20135449,7/1/2013,7/13/1995,IDEPT2357,IDEPT2357
20135456,7/1/2013,11/5/1995,IDEPT2601,IDEPT2601
20135459,7/1/2013,12/29/1995,IDEPT1378,IDEPT1378
20135469,7/1/2013,5/5/1996,IDEPT5127,IDEPT5127
20135484,7/1/2013,12/18/1995,IDEPT1615,IDEPT1615
20135512,7/1/2013,5/10/1996,IDEPT8598,IDEPT8598
20135545,7/1/2013,9/10/1995,IDEPT2425,IDEPT2425
20135559,7/1/2013,4/21/1996,IDEPT5109,IDEPT5109
20135569,7/1/2013,9/26/1995,IDEPT5881,IDEPT5881
20135571,7/1/2013,5/6/1996,IDEPT2601,IDEPT2601
20135573,7/1/2013,1/24/1996,IDEPT5881,IDEPT5881
20135623,7/1/2013,5/22/1996,IDEPT7783,IDEPT7783
20135638,7/1/2013,4/9/1996,IDEPT4055,IDEPT4055
20135654,7/1/2013,10/22/1995,IDEPT8313,IDEPT8313
20135657,7/1/2013,11/6/1995,IDEPT3062,IDEPT3062
20135661,7/1/2013,7/7/1995,IDEPT8598,IDEPT8598
20135672,7/1/2013,8/8/1995,IDEPT7783,IDEPT7783
20135675,7/1/2013,4/10/1996,IDEPT4055,IDEPT4055
20135678,7/1/2013,1/8/1996,IDEPT3115,IDEPT3115
20135684,7/1/2013,2/16/1996,IDEPT4132,IDEPT4132
20135687,7/1/2013,5/3/1996,IDEPT5528,IDEPT5528
20135700,7/1/2013,12/21/1995,IDEPT4938,IDEPT4938
20135707,7/1/2013,8/10/1995,IDEPT1378,IDEPT1378
20135717,7/1/2013,12/23/1995,IDEPT1825,IDEPT1825
20135731,7/1/2013,5/29/1996,IDEPT1423,IDEPT1423
20135775,7/1/2013,2/21/1996,IDEPT2425,IDEPT2425
20135785,7/1/2013,6/9/1996,IDEPT2357,IDEPT2357
20135789,7/1/2013,4/8/1996,IDEPT4055,IDEPT4055
20135792,7/1/2013,8/17/1995,IDEPT5881,IDEPT5881
20135793,7/1/2013,7/13/1995,IDEPT6347,IDEPT6347
20135820,7/1/2013,10/28/1995,IDEPT8379,IDEPT8379
20135822,7/1/2013,4/24/1996,IDEPT1537,IDEPT1537
20135859,7/1/2013,3/21/1996,IDEPT1096,IDEPT1096
20135870,7/1/2013,8/21/1995,IDEPT1537,IDEPT1537
20135873,7/1/2013,7/4/1996,IDEPT5564,IDEPT5564
20135890,7/1/2013,9/21/1995,IDEPT8473,IDEPT8473
20135897,7/1/2013,12/27/1995,IDEPT4132,IDEPT4132
20135905,7/1/2013,6/1/1996,IDEPT5528,IDEPT5528
20135919,7/1/2013,11/12/1995,IDEPT8473,IDEPT8473
20135936,7/1/2013,3/22/1996,IDEPT1533,IDEPT1533
20135945,7/1/2013,4/28/1996,IDEPT2601,IDEPT2601
20135953,7/1/2013,5/6/1996,IDEPT5528,IDEPT5528
20136006,7/1/2013,1/28/1996,IDEPT7626,IDEPT7626
20136013,7/1/2013,2/23/1996,IDEPT3868,IDEPT3868
20136021,7/1/2013,8/9/1995,IDEPT1537,IDEPT1537
20136023,7/1/2013,7/11/1995,IDEPT8473,IDEPT8473
20136032,7/1/2013,3/27/1996,IDEPT5564,IDEPT5564
20136041,7/1/2013,5/30/1996,IDEPT6347,IDEPT6347
20136060,7/1/2013,12/18/1995,IDEPT6347,IDEPT6347
20136067,7/1/2013,4/25/1996,IDEPT7783,IDEPT7783
20136079,7/1/2013,12/5/1995,IDEPT2601,IDEPT2601
20136094,7/1/2013,5/2/1996,IDEPT1825,IDEPT1825
20136097,7/1/2013,3/7/1996,IDEPT5564,IDEPT5564
20136107,7/1/2013,12/20/1995,IDEPT2054,IDEPT2054
20136119,7/1/2013,8/1/1995,IDEPT8313,IDEPT8313
20136129,7/1/2013,2/8/1996,IDEPT7005,IDEPT7005
20136154,7/1/2013,11/26/1995,IDEPT7783,IDEPT7783
20136164,7/1/2013,12/9/1995,IDEPT5109,IDEPT5109
20136173,7/1/2013,12/29/1995,IDEPT1096,IDEPT1096
20136179,7/1/2013,2/22/1996,IDEPT1677,IDEPT1677
20136208,7/1/2013,3/29/1996,IDEPT1825,IDEPT1825
20136246,7/1/2013,9/5/1995,IDEPT4132,IDEPT4132
20136266,7/1/2013,9/18/1995,IDEPT2601,IDEPT2601
20136281,7/1/2013,8/23/1995,IDEPT8473,IDEPT8473
20136282,7/1/2013,8/18/1995,IDEPT1537,IDEPT1537
20136284,7/1/2013,9/18/1995,IDEPT1677,IDEPT1677
20136287,7/1/2013,3/13/1996,IDEPT5127,IDEPT5127
20136298,7/1/2013,12/9/1995,IDEPT5109,IDEPT5109
20136303,7/1/2013,8/24/1995,IDEPT3868,IDEPT3868
20136307,7/1/2013,6/18/1996,IDEPT4055,IDEPT4055
20136332,7/1/2013,7/24/1995,IDEPT7626,IDEPT7626
20136338,7/1/2013,8/14/1995,IDEPT5127,IDEPT5127
20136416,7/1/2013,11/7/1995,IDEPT1537,IDEPT1537
20136421,7/1/2013,6/18/1996,IDEPT3868,IDEPT3868
20136447,7/1/2013,12/31/1995,IDEPT8598,IDEPT8598
20136462,7/1/2013,11/12/1995,IDEPT5127,IDEPT5127
20136475,7/1/2013,12/26/1995,IDEPT3778,IDEPT3778
20136513,7/1/2013,3/21/1996,IDEPT1677,IDEPT1677
20136527,7/1/2013,6/13/1996,IDEPT3115,IDEPT3115
20136563,7/1/2013,12/27/1995,IDEPT4938,IDEPT4938
20136572,7/1/2013,2/25/1996,IDEPT4132,IDEPT4132
20136616,7/1/2013,10/15/1995,IDEPT8379,IDEPT8379
20136620,7/1/2013,3/23/1996,IDEPT1615,IDEPT1615
20136637,7/1/2013,6/17/1996,IDEPT1367,IDEPT1367
20136638,7/1/2013,7/19/1995,IDEPT1533,IDEPT1533
20136649,7/1/2013,9/14/1995,IDEPT2054,IDEPT2054
20136655,7/1/2013,2/29/1996,IDEPT1388,IDEPT1388
20136677,7/1/2013,10/9/1995,IDEPT5564,IDEPT5564
20136695,7/1/2013,3/25/1996,IDEPT4308,IDEPT4308
20136701,7/1/2013,9/25/1995,IDEPT5564,IDEPT5564
20136705,7/1/2013,2/29/1996,IDEPT2054,IDEPT2054
20136724,7/1/2013,5/3/1996,IDEPT3062,IDEPT3062
20136751,7/1/2013,2/24/1996,IDEPT1533,IDEPT1533
20136752,7/1/2013,1/20/1996,IDEPT3062,IDEPT3062
